codigo_troquel;cilindro;repeat_in;repeat_mm;ancho_mm;largo_mm;ancho_in;largo_in;gap_ancho;gap_avance;ancho_banda;precorte_integrado;cavidades_ancho;cavidades_avance;forma;esquinas;precorte_entre_cavidades;familia_troquel
LR-167;78;9.75;247.7;31.75;19.05;1.25;0.75;0.0;0.0;8.625;NO;6;11;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-168;108;13.5;342.9;63.5;168.27;2.5;6.625;0.125;0.125;8.75;NO;3;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-169;122;15.25;387.4;90.0;180.0;3.543;7.087;0.125;0.52;8.25;NO;2;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-170;75;9.375;238.1;101.6;76.2;4.0;3.0;0.125;0.125;9.0;NO;2;3;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-171;75;9.375;238.1;31.75;12.7;1.25;0.5;0.125;0.125;8.625;NO;6;15;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-172;122;15.25;387.4;76.2;184.15;3.0;7.25;0.125;0.375;10.25;NO;3;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-173;85;10.625;269.9;50.8;50.8;2.0;2.0;0.125;0.125;10.25;SI;4;5;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-174;108;13.5;342.9;27.0;168.25;1.063;6.624;0.125;0.125;7.0;NO;5;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-175;80;10.0;254.0;168.0;254.0;2.204;5.0;0.0;0.0;8.0;NO;3;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-177;108;13.5;342.9;33.78;64.77;1.33;2.55;0.125;0.14;7.0;SI;6;5;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-178;82;10.25;260.4;111.25;61.97;4.38;2.44;0.197;0.125;5.5;NO;1;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-179;82;10.25;260.4;95.0;61.97;3.74;2.44;0.197;0.125;5.5;NO;1;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-180;78;9.75;247.7;38.1;19.05;1.5;0.75;0.125;0.136;8.625;NO;5;11;Rectangular;Redondas;PUNCH;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-181;82;10.25;260.4;38.1;25.4;1.5;1.0;0.125;0.125;10.0;NO;6;9;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-182;66;8.25;209.6;101.6;31.75;4.0;1.25;0.125;0.125;10.0;NO;2;6;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-183;88;11.0;279.4;114.3;88.9;4.5;3.5;0.125;0.167;10.0;NO;2;3;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-184;122;15.25;387.4;115.88;190.5;4.562;7.5;0.197;0.125;5.0;NO;1;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-185;78;9.75;247.7;149.86;244.48;5.9;9.625;0.0;0.0;7.0;NO;1;1;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-186;130;16.25;412.8;101.6;203.2;4.0;8.0;0.0;0.0;5.0;NO;1;2;Rectangular;Rectas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-187;72;9.0;0.0;0.0;0.0;1.25;0.875;0.125;0.125;4.31;NO;3;9;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-189;72;9.0;228.6;63.5;25.4;2.5;1.0;0.125;0.15;8.5;SI;3;8;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-190;98;12.25;311.2;46.74;306.32;1.84;12.06;0.125;0.19;6.5;NO;2;1;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-191;78;9.75;247.7;50.8;38.1;2.0;1.5;0.125;0.125;9.0;NO;4;6;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-192;104;13.0;330.2;35.05;159.31;1.38;6.272;0.125;0.228;10.0;NO;6;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-193;72;9.0;228.6;76.2;25.4;3.0;1.0;0.0;0.0;10.0;NO;3;8;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-194;78;9.75;247.7;22.0;58.0;0.866;2.283;0.125;0.154;9.0;NO;9;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-195;74;9.25;235.0;40.13;20.07;1.58;0.79;0.125;0.138;10.0;NO;5;10;Rectangular;Semi Redonda;PUNCH;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-196;74;9.25;235.0;68.0;55.0;2.677;2.165;0.125;0.147;8.75;NO;3;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-197;99;12.375;314.3;101.6;101.6;4.0;4.0;0.125;0.125;8.63;NO;2;3;Cuadrado;Rectas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-198;78;9.75;247.7;45.0;15.0;1.772;0.591;0.125;0.125;10.0;NO;5;14;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-199;75;9.375;238.1;25.4;12.7;1.0;0.5;0.125;0.125;4.0;NO;3;15;Rectangular;Redondas;SI A LO ANCHO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-200;65;8.125;206.4;152.4;203.2;6.0;8.0;0.125;0.125;6.5;NO;1;1;Rectangular;Rectas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-201;65;8.125;206.4;114.3;203.2;4.5;8.0;0.125;0.125;5.35;NO;1;1;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-202;85;10.625;269.9;38.1;50.8;1.5;2.0;0.125;0.125;10.0;NO;6;5;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-203;88;11.0;279.4;14.99;89.92;0.59;3.54;0.079;0.125;4.5;NO;5;3;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-204;75;9.375;238.1;101.6;76.2;4.0;3.0;0.125;0.125;8.75;NO;2;3;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-205;98;12.25;311.2;101.6;152.4;4.0;6.0;0.125;0.125;8.63;NO;2;2;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-206;122;15.25;387.4;135.13;190.5;5.32;7.5;0.197;0.125;6.25;NO;1;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-207;104;13.0;330.2;95.0;161.92;3.74;6.375;0.197;0.125;4.75;NO;1;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-208;85;10.625;269.9;76.2;50.8;3.0;2.0;0.0;0.0;10.0;NO;3;6;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-209;88;11.0;279.4;59.94;65.02;2.36;2.56;0.125;0.19;5.35;NO;2;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-210;98;12.25;311.2;50.8;152.4;2.0;6.0;0.125;0.125;9.0;NO;4;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-211;65;8.125;206.4;101.6;203.2;4.0;8.0;0.0;0.0;4.5;NO;1;1;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-212;72;9.0;228.6;34.93;25.4;1.375;1.0;0.125;0.125;9.5;NO;5;1;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-213;80;10.0;254.0;60.0;60.0;2.362;2.362;0.125;0.138;8.0;NO;3;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-214;88;11.0;279.4;7.0;60.0;8.5;11.0;0.0;0.0;9.5;NO;1;1;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-215;72;9.0;228.6;31.75;15.75;1.25;0.62;0.125;0.125;5.0;NO;3;12;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-216;88;11.0;279.4;215.9;279.4;8.5;11.0;0.0;0.0;10.0;NO;1;1;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-217;97;12.125;308.0;109.98;150.87;4.33;5.94;0.198;0.123;10.0;NO;1;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-218;88;11.0;279.4;109.98;150.87;50.8;50.8;0.125;0.2;9.0;NO;4;5;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-219;82;10.25;260.4;32.0;25.4;1.26;1.0;0.125;0.138;7.0;SI;4;9;Rectangular;Redondas;SI + VENTANA;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-220;65;8.125;206.4;69.85;38.1;2.75;1.5;0.125;0.125;7.0;NO;3;5;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LC-01;65;8.13;206.4;25.0;25.0;0.984;0.984;0.236;0.361;4.125;NO;3;6;Circular;;NO;TROQUELES FLEXIBLES CIRCULARES
LC-02;85;10.63;269.9;50.8;50.8;2.0;2.0;0.125;0.125;10.0;NO;4;5;Circular;;NO;TROQUELES FLEXIBLES CIRCULARES
LC-03;78;9.75;247.7;38.0;38.0;1.496;1.496;0.125;0.125;10.0;NO;6;6;Circular;;NO;TROQUELES FLEXIBLES CIRCULARES
LC-04;88;11.0;279.4;31.75;31.75;1.25;1.25;0.125;0.125;10.0;NO;7;8;Circular;;NO;TROQUELES FLEXIBLES CIRCULARES
LC-05;84;10.5;266.7;63.5;63.5;2.5;2.5;0.125;0.125;10.0;NO;3;4;Circular;;NO;TROQUELES FLEXIBLES CIRCULARES
LC-06;112;14.0;355.6;55.88;55.88;2.2;2.2;0.125;0.132;10.0;NO;4;6;Circular;;NO;TROQUELES FLEXIBLES CIRCULARES
LC-07;88;11.0;279.4;14.3;14.3;0.563;0.563;0.125;0.125;5.0;NO;6;16;Circular;;NO;TROQUELES FLEXIBLES CIRCULARES
LC-08;74;9.25;235.0;19.6;19.6;0.772;0.772;0.125;0.153;3.25;NO;3;10;;;NO;TROQUELES FLEXIBLES CIRCULARES
LC-09;72;9.0;228.6;25.4;25.4;1.0;1.0;0.125;0.125;10.0;NO;8;8;;;;TROQUELES FLEXIBLES CIRCULARES
LC-12;76;9.5;241.3;12.7;12.7;0.5;0.5;0.125;0.125;5.5;NO;8;15;Circular;;NO;TROQUELES FLEXIBLES CIRCULARES
LE-01;70;8.75;222.3;49.0;67.0;1.929;2.638;0.197;0.279;4.625;NO;2;3;Especial;Variada;;TROQUELES FLEXIBLES ESPECIALES
LE-02;78;9.75;247.7;38.1;120.65;1.5;4.75;0.125;0.125;10.0;NO;6;2;Especial;Redondas;;TROQUELES FLEXIBLES ESPECIALES
LE-03;110;13.75;349.3;70.0;70.0;1.5;4.75;0.0;0.0;8.75;NO;3;5;Rectangular;Rectas;PUNCH;TROQUELES FLEXIBLES ESPECIALES
LE-04;84;10.5;266.7;70.0;70.0;1.625;1.625;0.125;0.125;10.0;NO;5;6;Especial;Redondas;;TROQUELES FLEXIBLES ESPECIALES
LE-05;72;9.0;228.6;50.8;76.2;2.0;3.0;0.125;0.125;9.0;NO;4;3;Especial;Redondas;PUNCH;TROQUELES FLEXIBLES ESPECIALES
LE-08;98;12.25;311.2;107.95;22.23;4.25;0.875;0.125;0.0;10.0;NO;2;14;Especial;Redondas;SI;TROQUELES FLEXIBLES ESPECIALES
LE-09;114;14.25;362.0;25.4;177.8;1.0;7.0;0.125;0.125;10.0;NO;8;2;Especial;Redondas;;TROQUELES FLEXIBLES ESPECIALES
LE-10;116;14.5;368.3;44.45;68.58;1.75;2.7;0.125;0.2;10.0;NO;5;5;Especial;Redondas;;TROQUELES FLEXIBLES ESPECIALES
LE-11;104;13.0;330.2;38.1;78.99;1.5;3.11;0.125;0.125;5.0;NO;6;4;Especial;;;TROQUELES FLEXIBLES ESPECIALES
LE-12;104;13.0;330.2;34.93;157.15;1.375;6.187;0.125;0.3;10.0;NO;6;2;Especial;Curvas;;TROQUELES FLEXIBLES ESPECIALES
LE-13;82;10.25;260.4;85.85;60.96;3.38;2.4;0.125;0.16;7.5;NO;2;4;Especial;;;TROQUELES FLEXIBLES ESPECIALES
LE-14;81;10.125;257.2;43.99;86.0;1.732;3.386;0.125;0.125;10.0;NO;5;3;Especial;Redondas;PUNCH;TROQUELES FLEXIBLES ESPECIALES
LE-15;79;9.875;250.8;34.98;50.17;1.377;1.975;0.125;0.0;10.0;SI;6;5;Especial;Variada;;TROQUELES FLEXIBLES ESPECIALES
LE-16;76;9.5;241.3;61.93;120.65;2.438;4.75;0.0;0.0;10.0;SI;4;2;Rectangular;Rectas;PUNCH;TROQUELES FLEXIBLES ESPECIALES
LE-18;82;10.25;260.4;48.01;40.0;1.89;1.575;0.125;0.138;7.0;NO;3;6;Especial;Redondas;;TROQUELES FLEXIBLES ESPECIALES
LE-19;84;10.5;266.7;151.89;84.84;5.98;3.34;0.125;0.16;7.0;NO;1;3;Especial;;NO;TROQUELES FLEXIBLES ESPECIALES
LE-22;104;13.0;330.2;50.8;110.06;2.0;4.333;0.125;0.0;9.0;NO;4;3;Especial;Redondas;NO;TROQUELES FLEXIBLES ESPECIALES
LE-27;84;10.5;266.7;63.5;63.5;2.5;2.5;0.125;0.125;8.5;NO;3;4;Especial;Rectas;NO;TROQUELES FLEXIBLES ESPECIALES
LE-28;75;9.375;238.1;18.42;79.38;0.725;3.125;0.0;0.0;7.0;SI;8;3;Especial;Redondas;NO;TROQUELES FLEXIBLES ESPECIALES
LE-29;72;9.0;228.6;57.15;38.1;2.25;1.5;0.0;0.0;3.5;NO;1;6;Especial;Redondas;NO;TROQUELES FLEXIBLES ESPECIALES
LE-30;88;11.0;279.4;30.48;69.85;1.2;2.75;0.0;0.0;3.5;SI;6;4;Especial;Rectas;NO;TROQUELES FLEXIBLES ESPECIALES
LE-31;84;10.5;266.7;76.2;88.9;3.0;3.5;0.0;0.0;3.5;SI;1;3;Especial;Redondas;NO;TROQUELES FLEXIBLES ESPECIALES
LE-32;88;11.0;279.4;31.75;31.75;1.25;1.25;0.125;0.125;3.5;NO;2;8;Especial;;NO;TROQUELES FLEXIBLES ESPECIALES
LE-33;97;12.125;308.0;50.8;102.64;2.0;4.041;0.25;0.0;5.0;NO;2;3;Especial;Redondas;NO;TROQUELES FLEXIBLES ESPECIALES
LE-34;97;12.125;308.0;35.0;102.64;1.378;4.041;0.0;0.0;5.0;NO;3;1;Especial;Rectas;PUNCH +PREC;TROQUELES FLEXIBLES ESPECIALES
LO-01;75;9.38;238.1;50.8;76.2;2.0;3.0;0.125;0.125;5.0;NO;2;1;Ovalada;;NO;TROQUELES FLEXIBLES OVALADOS
LO-02;75;9.38;238.1;50.8;76.2;2.0;3.0;0.125;0.125;9.25;NO;4;3;Ovalada;;NO;TROQUELES FLEXIBLES OVALADOS
LO-03;79;9.88;250.8;39.88;58.93;1.57;2.32;0.125;0.15;9.0;Corte de Segu;5;3;Ovalada;;NO;TROQUELES FLEXIBLES OVALADOS
LO-04;82;10.25;260.4;44.96;60.81;1.77;2.394;0.125;0.125;8.5;NO;4;4;Ovalo;;NO;TROQUELES FLEXIBLES OVALADOS
LO-05;72;9.0;228.6;29.0;13.0;1.142;0.512;0.125;0.134;3.93;NO;2;14;Ovalada;;NO;TROQUELES FLEXIBLES OVALADOS
LO-06;104;13.0;330.2;76.2;50.8;3.0;2.0;0.125;0.166;10.0;NO;3;6;Ovalada;;NO;TROQUELES FLEXIBLES OVALADOS
TPL-01;60;7.5;190.5;25.0;152.0;0.984;5.984;0.197;1.516;4.0;NO;3;1;Rectangu;Redondas;;
TPL-02;82;10.25;260.35;25.0;127.0;0.984;5.0;0.246;0.125;4.0;NO;3;2;;;;
TPL-03;65;8.125;206.375;25.4;38.1;1.0;1.5;0.125;0.125;4.75;NO;4;5;Rectangu;Redondas;;
TPL-04;82;10.25;260.35;73.0;127.0;2.874;5.0;0.0;0.125;3.5;NO;1;2;Rectangu;Rectas;;
TPL-05;60;7.5;190.5;25.4;63.5;1.0;2.5;0.125;0.039;5.0;NO;4;3;;;;
TPL-06;60;7.5;190.5;79.0;152.0;3.11;5.984;0.0;1.516;3.689;NO;1;1;Rectangu;Rectas;;
TPL-07;70;8.75;222.25;50.8;50.8;2.0;2.0;0.177;0.187;4.75;NO;2;4;Circular;;;
TPL-08;65;8.125;206.375;120.0;100.0;4.724;3.937;0.0;0.125;5.25;NO;1;2;Rectangu;Redondas;;
TPL-09;60;7.5;190.5;110.0;90.0;4.331;3.543;0.0;0.207;4.875;NO;1;2;;;;
TPL-10;110;13.75;349.25;79.0;173.0;3.11;6.811;0.064;0.064;3.625;NO;1;2;Rectangu;Redondas;;
TPL-11;82;10.25;260.35;19.0;121.0;0.748;4.764;0.125;0.362;5.25;NO;4;2;Rectangu;Redondas;;
TPL-12;82;10.25;260.35;50.8;76.2;2.0;3.0;0.125;0.417;4.75;NO;2;3;Rectangu;Rectas;;
TPL-13;70;8.75;222.25;24.0;50.0;0.945;1.969;0.125;0.219;4.75;SI;1;4;Rectangu;Rectas;;
TPL-14;82;10.25;260.35;78.0;226.0;3.071;8.898;0.125;1.354;3.689;NO;1;1;Especial;Redondas;;
TPL-15;72;9.0;228.6;29.0;13.0;1.142;0.512;0.472;0.238;3.93;NO;2;12;Ovalada;;;
TPL-16;82;10.25;260.35;25.4;127.0;1.0;5.0;0.125;0.125;5.0;SI;4;2;Rectangu;Rectas;;
TPL-17;82;10.25;260.35;79.0;110.0;3.11;4.331;0.125;0.53;5.118;NO;1;3;Rectangu;Redondas;;
TPL-18;60;7.5;190.5;88.9;88.9;3.5;3.5;0.125;0.25;3.937;NO;1;2;Cuadrado;Rectas;;
TPL-19;82;10.25;260.35;35.0;120.0;1.378;4.724;0.125;0.423;3.937;SI;2;2;Rectangu;Rectas;;
TPL-20;70;8.75;222.25;16.5;101.0;0.65;3.976;0.125;0.399;3.937;NO;5;2;Rectangu;Redondas;;
TPL-21;48;5.988;152.083;102.0;152.0;4.016;5.984;0.0;0.197;4.724;NO;1;1;;;;
TPL-22;75;9.363;237.808;38.0;76.0;1.496;2.992;0.125;0.125;3.543;NO;1;3;;;;
TPL-23;60;7.5;190.5;13.0;13.0;0.512;0.512;0.125;0.125;3.937;NO;5;11;Circular;;;
TPL-24;60;7.5;190.5;44.0;44.0;1.732;1.732;0.125;0.143;4.7;NO;2;4;Circular;;;
TPL-25;82;10.25;260.35;37.0;127.0;1.457;5.0;0.125;0.125;3.268;NO;2;2;Rectangu;Redondas;;
TPL-26;65;8.125;206.375;77.0;203.0;3.031;7.992;0.125;0.134;3.689;NO;1;1;Rectangu;Rectas;;
TPL-27;65;8.125;206.375;25.0;64.0;0.984;2.52;0.125;0.189;3.937;SI;3;3;Rectangu;Rectas;;
TPL-28;60;7.5;190.5;12.7;152.4;0.5;6.0;0.125;1.5;3.937;NO;4;1;Rectangu;Redondas;;
TPL-29;36;4.469;113.506;32.0;34.0;1.26;1.339;0.236;0.236;3.375;NO;2;3;Rectangu;Rectas;;
TPL-30;51;6.375;161.925;101.0;55.0;3.976;2.0;0.0;0.125;4.5;NO;1;3;Rectangu;Redondas;;
TPL-31;68;8.5;215.9;41.0;63.0;1.614;2.48;0.125;0.125;9.0;NO;3;5;Rectangu;Redondas;;
TPL-32;68;8.5;215.9;51.0;51.0;2.008;2.008;0.125;0.125;9.84;NO;4;4;Cuadrado;Redondas;;
TPL-33;82;10.25;260.35;81.0;127.0;3.189;5.0;0.125;0.125;3.814;NO;1;2;Rectangu;Rectas;;
TPL-34;82;10.25;260.35;99.0;120.0;3.898;4.724;0.0;0.401;4.92;NO;1;2;Ovalada;;;
TPL-35;82;10.25;260.35;61.0;117.0;2.402;4.606;0.0;0.52;2.902;NO;1;3;Rectangu;Rectas;;
TPL-36;82;10.25;260.35;51.0;229.0;2.008;9.016;0.125;1.252;4.766;NO;2;1;Rectangu;Rectas;;
TPL-37;96;12.0;304.8;69.0;137.0;2.717;5.394;0.0;0.606;3.217;NO;1;2;Rectangu;Rectas;;
TPL-38;75;9.375;238.125;41.0;114.68;1.614;4.515;0.125;0.16;3.978;NO;2;2;Rectangu;Redondas;;
TPL-39;82;10.25;260.35;76.0;127.0;2.992;5.0;0.125;0.125;3.617;NO;1;2;Rectangu;Redondas;;
TPL-40;82;10.25;260.35;32.0;127.0;1.26;5.0;0.125;0.125;4.655;NO;3;2;Rectangu;Redondas;;
TPL-41;60;7.5;190.5;13.0;25.0;0.512;0.984;0.125;0.115;3.937;NO;3;11;Rectangu;Redondas;;
TPL-42;65;8.125;206.375;31.75;31.75;1.25;1.25;0.125;0.104;3.937;NO;3;6;Circular;;;
TPL-43;82;10.25;260.35;100.0;120.0;3.937;4.724;0.0;0.402;4.921;NO;1;2;Rectangu;Rectas;;
TPL-44;60;7.5;190.5;44.45;53.98;1.75;2.125;0.125;0.368;3.937;NO;2;4;Rectangu;Rectas;;
TPL-45;60;7.5;190.5;50.8;76.2;2.0;3.0;0.125;0.75;3.937;SI;4;2;Rectangu;Redondas;;
TPL-46;66;8.25;209.55;10.0;10.0;0.394;0.394;0.125;0.156;3.937;NO;7;13;Circular;;;
TPL-47;65;8.125;206.375;25.0;25.0;0.984;0.984;0.125;0.173;3.937;NO;3;7;Cuadrado;Rectas;;
TPL-48;65;8.125;206.375;100.0;100.0;3.937;3.937;0.125;0.126;3.937;NO;1;2;Cuadrado;Rectas;;
TPL-49;82;10.25;260.35;111.0;78.0;4.37;3.071;0.125;0.346;4.921;NO;1;3;Rectangu;Redondas;;
TPL-50;60;7.5;190.5;68.0;86.0;2.677;3.386;0.125;0.364;3.689;NO;1;2;Rectangu;Rectas;;
TPL-51;82;10.25;260.35;68.0;80.0;2.677;3.15;0.125;0.268;3.689;NO;1;3;Rectangu;Rectas;;
TPL-52;70;8.75;222.25;55.0;71.0;2.165;2.795;0.125;0.122;4.921;NO;2;3;Rectangu;Redondas;;
TPL-53;60;7.5;190.5;20.0;20.0;0.787;0.787;0.125;0.194;3.937;NO;4;8;Circular;;;
TPL-54;82;10.25;260.35;76.0;250.0;2.992;9.843;0.125;0.409;3.677;NO;1;1;Especial;Rectas;;
TPL-55;82;10.25;260.35;63.5;127.0;2.5;5.0;0.125;0.126;3.677;NO;1;2;Rectangu;Rectas;;
TPL-56;82;10.25;260.35;26.97;127.0;1.062;5.0;0.125;0.138;4.87;SI;4;2;Rectangu;Rectas;;
TPL-57;82;10.25;260.35;57.0;25.0;2.244;0.984;0.125;0.138;4.87;NO;1;3;;;;
TPL-58;82;10.25;260.35;38.0;45.0;1.496;1.772;0.125;0.138;4.87;NO;2;2;;;;
TPL-59;60;7.5;190.5;12.0;12.0;0.472;0.472;0.125;0.153;4.87;NO;8;12;Circular;;;
TPL-60;82;10.25;260.35;76.2;127.0;3.0;5.0;0.25;0.125;10.0;NO;3;2;Rectangu;Redondas;;
TPL-61;82;10.25;260.35;76.0;51.0;2.992;2.008;0.125;0.25;3.268;NO;1;3;;;;
TPL-62;60;7.5;190.5;29.0;13.0;1.142;0.512;0.472;0.15;3.93;NO;3;11;Ovalada;;;
TPL-63;110;13.75;349.25;35.0;170.0;1.378;6.693;0.196;0.125;3.93;NO;2;2;Rectangu;Redondas;;
TPL-64;82;10.25;260.35;73.0;123.0;2.874;4.843;0.125;0.413;3.7;NO;1;2;Rectangu;Rectas;;
TPL-65;60;7.5;190.5;13.0;13.0;0.512;0.512;0.125;0.113;3.93;NO;6;12;Circular;;;
TPL-66;0;0.0;0.0;65.02;95.25;2.56;3.75;0.125;0.15;10.0;NO;2;3;Rectangu;Redondas;;
TPL-67;91;11.375;288.925;22.0;93.0;0.866;3.661;0.125;0.125;5.0;NO;4;2;Rectangu;Redondas;;
TPL-68;60;7.5;190.5;32.0;19.0;1.26;0.748;0.125;0.125;3.26;NO;2;2;;;;
TPL-69;60;7.5;190.5;15.0;50.0;0.591;1.969;0.125;0.125;3.26;NO;1;4;;;;
TPL-70;60;7.5;190.5;29.0;30.0;1.142;1.181;0.125;0.125;3.26;NO;2;3;;;;
TPL-71;82;10.25;260.35;27.0;114.0;1.063;4.488;0.125;0.629;3.93;NO;3;2;Rectangu;Redondas;;
TPL-72;70;8.75;222.25;109.98;85.72;4.33;3.375;0.125;0.53;5.118;NO;1;3;Rectangu;Rectas;;
TPL-73;60;7.5;190.5;78.0;156.0;3.071;6.142;0.125;1.358;3.93;NO;1;1;Rectangu;Rectas;;
TPL-74;71;8.875;225.425;32.0;34.0;1.26;1.339;0.25;0.125;3.93;NO;6;6;Cuadrado;Rectas;;
TPL-75;60;7.5;190.5;29.0;30.0;1.142;1.181;0.25;0.125;3.93;NO;6;5;Cuadrado;Rectas;;
TPL-76;60;7.5;190.5;76.0;38.0;2.992;1.496;0.25;0.125;3.93;NO;3;1;Rectangu;Redondas;;
TPL-77;68;8.5;215.9;76.0;51.0;2.992;2.008;0.25;0.125;9.84;NO;3;4;Rectangu;Redondas;;
TPL-78;105;13.125;333.375;64.0;64.0;2.52;2.52;0.125;0.125;9.0;NO;2;5;Circular;;;
TPL-79;82;10.25;260.35;31.75;127.0;1.25;5.0;0.125;0.125;3.93;NO;2;2;;;;
TPL-80;82;10.25;260.35;29.972;127.0;1.18;5.0;0.125;0.125;3.93;NO;3;2;Rectangu;Redondas;;
TPL-81;70;8.75;222.25;127.0;206.75;5.0;8.14;0.125;0.125;5.5;NO;1;1;Rectangu;Redondas;;
TPL-82;82;10.25;260.35;38.1;114.3;1.5;4.5;0.125;0.125;3.5;NO;2;2;Rectangu;Redondas;;
TPL-83;96;12.0;304.8;78.74;132.08;3.1;5.2;0.125;0.787;3.68;NO;1;2;Rectangu;Redondas;;
TPL-84;69;8.625;219.075;76.2;69.85;3.0;2.75;0.125;0.125;3.5;NO;1;3;Cuadrado;Redondas;;
TPL-85;66;8.25;209.55;21.565;5.743;0.849;0.226;0.125;0.125;4.31;NO;4;23;Rectangu;Rectas;;
TPL-86;65;8.125;206.375;25.4;76.2;1.0;3.0;0.125;0.125;4.31;NO;1;3;Rectangu;Redondas;;
TPL-87;75;9.375;238.125;101.6;76.2;4.0;3.0;0.125;0.125;4.31;NO;1;3;Rectangu;Redondas;;
TPL-88;65;8.125;206.375;69.85;50.8;2.75;2.0;0.125;0.125;4.31;NO;1;1;Rectangu;Redondas;;
