codigo_troquel;cilindro;repeat_in;repeat_mm;ancho_mm;largo_mm;ancho_in;largo_in;gap_ancho;gap_avance;ancho_banda;precorte_integrado;cavidades_ancho;cavidades_avance;forma;esquinas;precorte_entre_cavidades;familia_troquel
LR-36;85;10.625;269.9;50.8;50.8;2.0;2.0;0.125;0.125;10.0;SI;4;5;Cuadrado;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-37;82;10.25;260.4;50.8;76.2;2.0;3.0;0.125;0.121;9.5;NO;4;3;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-38;70;8.75;222.3;55.0;71.0;2.165;2.795;0.125;0.122;10.0;NO;4;3;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-39;82;10.25;260.4;23.62;127.0;0.93;5.0;0.125;0.125;10.0;NO;8;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-40;102;12.75;323.9;101.6;50.8;4.0;2.0;0.125;0.125;8.63;NO;2;6;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-41;76;9.5;241.3;25.4;117.48;1.0;4.625;0.125;0.125;7.5;NO;6;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-42;82;10.25;260.4;23.47;127.0;0.924;5.0;0.125;0.125;10.0;SI;9;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-44;82;10.25;260.4;26.92;127.0;1.06;5.0;0.125;0.125;10.0;SI;8;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-45;74;9.25;235.0;76.2;228.6;3.0;9.0;0.125;0.25;10.0;NO;3;1;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-47;84;10.5;266.7;52.3;30.16;2.059;1.188;0.125;0.125;10.0;NO;4;8;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-48;75;9.375;238.1;45.24;76.2;1.781;3.0;0.125;0.125;10.0;NO;5;3;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-49;84;10.5;266.7;25.4;18.01;1.0;0.709;0.125;0.125;10.0;NO;8;12;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-50;82;10.25;260.4;29.97;127.0;1.18;5.0;0.125;0.125;10.0;NO;7;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-51;98;12.25;311.2;24.99;152.4;0.984;6.0;0.125;0.125;10.0;NO;8;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-52;110;13.75;349.3;15.88;31.75;0.625;1.25;0.125;0.125;10.0;NO;13;10;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-53;82;10.25;260.4;25.4;127.0;1.0;5.0;0.125;0.125;10.0;NO;8;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-54;69;8.625;219.1;57.15;106.05;2.25;4.175;0.125;0.125;10.0;NO;4;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-55;75;9.375;238.1;76.2;76.2;3.0;3.0;0.125;0.125;10.0;NO;3;3;Cuadrado;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-56;91;11.375;288.9;45.25;45.25;1.781;1.781;0.125;0.125;10.0;NO;5;6;Cuadrado;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-57;82;10.25;260.4;27.94;127.0;1.1;5.0;0.125;0.125;10.0;NO;8;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-58;78;9.75;247.7;25.4;120.65;1.0;4.75;0.125;0.125;10.0;SI;6;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-59;75;9.375;238.1;57.15;76.2;2.25;3.0;0.125;0.125;10.0;NO;4;3;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
